file,duration_s,neural_bitrate_achieved_bps,neural_bitrate_target_kbps,neural_latency_ms_avg,neural_latency_ms_p95,neural_pesq,neural_stoi,ffmpeg_codec,ffmpeg_bitrate_achieved_bps,ffmpeg_bitrate_target_kbps,ffmpeg_pesq,ffmpeg_stoi
/Users/muhammadawais/Downloads/ac_proj/datasets/LibriSpeech/test-clean/1089/134686/1089-134686-0000.flac,8.0,87055.0,10,1678.5506145000681,1976.701851850271,2.50248646736145,0.5961649335931635,aac,12024.0,10,1.8129339218139648,0.2528240542981174
/Users/muhammadawais/Downloads/ac_proj/datasets/LibriSpeech/test-clean/1089/134686/1089-134686-0001.flac,3.275,61833.282442748095,10,1146.0539580000386,1428.1127952002635,1.0638396739959717,0.5992084124561907,aac,13171.297709923665,10,2.0209696292877197,0.13108400438573578
/Users/muhammadawais/Downloads/ac_proj/datasets/LibriSpeech/test-clean/1089/134686/1089-134686-0002.flac,6.625,90532.22641509434,10,1753.6716459999298,2932.8216231499932,1.040765404701233,0.5556667875952565,aac,12096.0,10,2.139709949493408,0.2813195081959821
/Users/muhammadawais/Downloads/ac_proj/datasets/LibriSpeech/test-clean/1089/134686/1089-134686-0003.flac,2.68,116352.23880597015,10,992.7595204999307,1708.6336014497647,1.0443984270095825,0.6117398939649266,aac,12665.671641791045,10,2.0701072216033936,0.2436016288556843
/Users/muhammadawais/Downloads/ac_proj/datasets/LibriSpeech/test-clean/1089/134686/1089-134686-0004.flac,5.2150625,103194.92815282654,10,1220.9875829998964,1512.8672079998523,1.0719125270843506,0.6521505352847478,aac,11724.499946069678,10,2.0436155796051025,0.22836475405110937
/Users/muhammadawais/Downloads/ac_proj/datasets/LibriSpeech/test-clean/1089/134686/1089-134686-0005.flac,8.0,75775.0,10,1562.0130517498865,1891.740481149827,1.1128475666046143,0.5382948264614015,aac,11168.0,10,1.8792836666107178,0.2745861402132719
/Users/muhammadawais/Downloads/ac_proj/datasets/LibriSpeech/test-clean/1089/134686/1089-134686-0006.flac,8.0,86027.0,10,1522.9225519999545,1662.9577294498858,1.043647289276123,0.581023470605084,aac,11685.0,10,2.2586894035339355,0.26957324110684716
/Users/muhammadawais/Downloads/ac_proj/datasets/LibriSpeech/test-clean/1089/134686/1089-134686-0007.flac,4.275,69082.5730994152,10,1257.343083333429,1930.397033599911,1.0614020824432373,0.6685225836524564,aac,11725.847953216373,10,2.1279890537261963,0.22945832808745034
/Users/muhammadawais/Downloads/ac_proj/datasets/LibriSpeech/test-clean/1089/134686/1089-134686-0008.flac,6.73,75327.19167904904,10,1288.945458249941,1930.8389937496938,1.0526931285858154,0.5307570364082137,aac,12021.396731054976,10,2.0563154220581055,0.2509550452009239
/Users/muhammadawais/Downloads/ac_proj/datasets/LibriSpeech/test-clean/1089/134686/1089-134686-0009.flac,8.0,84895.0,10,1642.7854895001701,2233.3024999502863,1.0748261213302612,0.6312556872521641,aac,11645.0,10,2.145632028579712,0.26658655615095495
