file,duration_s,neural_bitrate_bps,neural_latency_ms_avg,neural_latency_ms_p95,neural_pesq,neural_stoi,ffmpeg_codec,ffmpeg_bitrate_bps,ffmpeg_latency_ms,ffmpeg_pesq,ffmpeg_stoi
/Users/muhammadawais/Downloads/ac_proj/datasets/LibriSpeech/test-clean/1089/134686/1089-134686-0000.flac,8.0,22742120.0,2708.399812498101,2933.702374994755,2.5832719802856445,0.9481103096421467,aac,70638.0,211.8635830047424,3.954749822616577,0.19687653331139274
/Users/muhammadawais/Downloads/ac_proj/datasets/LibriSpeech/test-clean/1089/134686/1089-134686-0001.flac,3.275,22733305.648854963,1925.8266665019619,2583.767166950929,2.249567985534668,0.9827379966792764,aac,72244.27480916031,95.27512500062585,4.296265125274658,0.13358783248354608
/Users/muhammadawais/Downloads/ac_proj/datasets/LibriSpeech/test-clean/1089/134686/1089-134686-0002.flac,6.625,22735764.528301887,2052.767875000427,2912.2399312524067,2.5431435108184814,0.9612241259031441,aac,69850.56603773584,181.3764580001589,4.343567371368408,0.2763224254096541
/Users/muhammadawais/Downloads/ac_proj/datasets/LibriSpeech/test-clean/1089/134686/1089-134686-0003.flac,2.68,22712489.552238803,1416.662000501674,2395.8413756499795,2.9639039039611816,0.9771125991442133,aac,70426.86567164179,86.03129100083606,4.496030807495117,0.24345931468766108
/Users/muhammadawais/Downloads/ac_proj/datasets/LibriSpeech/test-clean/1089/134686/1089-134686-0004.flac,5.2150625,22728967.102503564,1979.213514001458,2452.7302589027386,2.8325960636138916,0.9799042132858053,aac,69897.5323881545,122.74608299776446,3.9726650714874268,0.2225960870178982
/Users/muhammadawais/Downloads/ac_proj/datasets/LibriSpeech/test-clean/1089/134686/1089-134686-0005.flac,8.0,22744304.0,2482.8943127486127,2633.5915768519044,2.3778772354125977,0.9375506643510455,aac,68111.0,188.71033399773296,4.131452560424805,0.24835558600565175
/Users/muhammadawais/Downloads/ac_proj/datasets/LibriSpeech/test-clean/1089/134686/1089-134686-0006.flac,8.0,22743127.0,2444.7753750009724,2528.8857974504936,2.4809563159942627,0.9456189424301682,aac,69822.0,198.38033400446875,4.461645126342773,0.2513094111544917
/Users/muhammadawais/Downloads/ac_proj/datasets/LibriSpeech/test-clean/1089/134686/1089-134686-0007.flac,4.275,22728770.994152047,1650.4674446672045,2464.2782380993594,2.285729169845581,0.9718836641459387,aac,68893.56725146198,85.20637500623707,4.411193370819092,0.2167364245137365
/Users/muhammadawais/Downloads/ac_proj/datasets/LibriSpeech/test-clean/1089/134686/1089-134686-0008.flac,6.73,22736834.472511142,1918.4582707512163,2442.9105849052576,2.224501132965088,0.9549960725792688,aac,68968.79643387816,168.39345799962757,4.35764217376709,0.24500483081651386
/Users/muhammadawais/Downloads/ac_proj/datasets/LibriSpeech/test-clean/1089/134686/1089-134686-0009.flac,8.0,22740964.0,2474.456874999305,2588.806907997423,2.4902477264404297,0.9616547797394416,aac,69348.0,159.3436249968363,4.302841663360596,0.2441597239205418
